Swapped_Condition	Swapped_Stimulus	Let-Alone	Sentence	Plain Verb	Noun	Pronoun	Modal
0	0	1	You couldn't sing an ugly song, never mind a beautiful one. Singing an ugly song is <MASK> than singing a beautiful song.	sing	song	You	couldn't
0	1	1	You couldn't sing an ugly song, never mind a beautiful one. Singing a beautiful song is <MASK> than singing an ugly song.	sing	song	You	couldn't
1	0	1	You couldn't sing a beautiful song, never mind an ugly one. Singing an ugly song is <MASK> than singing a beautiful song.	sing	song	You	couldn't
1	1	1	You couldn't sing a beautiful song, never mind an ugly one. Singing a beautiful song is <MASK> than singing an ugly song.	sing	song	You	couldn't
0	0	0	You couldn't sing an ugly song, or a beautiful one. Singing an ugly song is <MASK> than singing a beautiful song.	sing	song	You	couldn't
0	1	0	You couldn't sing an ugly song, or a beautiful one. Singing a beautiful song is <MASK> than singing an ugly song.	sing	song	You	couldn't
1	0	0	You couldn't sing a beautiful song, or an ugly one. Singing an ugly song is <MASK> than singing a beautiful song.	sing	song	You	couldn't
1	1	0	You couldn't sing a beautiful song, or an ugly one. Singing a beautiful song is <MASK> than singing an ugly song.	sing	song	You	couldn't
0	0	1	We couldn't sing an ugly song, never mind a beautiful one. Singing an ugly song is <MASK> than singing a beautiful song.	sing	song	We	couldn't
0	1	1	We couldn't sing an ugly song, never mind a beautiful one. Singing a beautiful song is <MASK> than singing an ugly song.	sing	song	We	couldn't
1	0	1	We couldn't sing a beautiful song, never mind an ugly one. Singing an ugly song is <MASK> than singing a beautiful song.	sing	song	We	couldn't
1	1	1	We couldn't sing a beautiful song, never mind an ugly one. Singing a beautiful song is <MASK> than singing an ugly song.	sing	song	We	couldn't
0	0	0	We couldn't sing an ugly song, or a beautiful one. Singing an ugly song is <MASK> than singing a beautiful song.	sing	song	We	couldn't
0	1	0	We couldn't sing an ugly song, or a beautiful one. Singing a beautiful song is <MASK> than singing an ugly song.	sing	song	We	couldn't
1	0	0	We couldn't sing a beautiful song, or an ugly one. Singing an ugly song is <MASK> than singing a beautiful song.	sing	song	We	couldn't
1	1	0	We couldn't sing a beautiful song, or an ugly one. Singing a beautiful song is <MASK> than singing an ugly song.	sing	song	We	couldn't
0	0	1	They couldn't sing an ugly song, never mind a beautiful one. Singing an ugly song is <MASK> than singing a beautiful song.	sing	song	They	couldn't
0	1	1	They couldn't sing an ugly song, never mind a beautiful one. Singing a beautiful song is <MASK> than singing an ugly song.	sing	song	They	couldn't
1	0	1	They couldn't sing a beautiful song, never mind an ugly one. Singing an ugly song is <MASK> than singing a beautiful song.	sing	song	They	couldn't
1	1	1	They couldn't sing a beautiful song, never mind an ugly one. Singing a beautiful song is <MASK> than singing an ugly song.	sing	song	They	couldn't
0	0	0	They couldn't sing an ugly song, or a beautiful one. Singing an ugly song is <MASK> than singing a beautiful song.	sing	song	They	couldn't
0	1	0	They couldn't sing an ugly song, or a beautiful one. Singing a beautiful song is <MASK> than singing an ugly song.	sing	song	They	couldn't
1	0	0	They couldn't sing a beautiful song, or an ugly one. Singing an ugly song is <MASK> than singing a beautiful song.	sing	song	They	couldn't
1	1	0	They couldn't sing a beautiful song, or an ugly one. Singing a beautiful song is <MASK> than singing an ugly song.	sing	song	They	couldn't
0	0	1	You can't sing an ugly song, never mind a beautiful one. Singing an ugly song is <MASK> than singing a beautiful song.	sing	song	You	can't
0	1	1	You can't sing an ugly song, never mind a beautiful one. Singing a beautiful song is <MASK> than singing an ugly song.	sing	song	You	can't
1	0	1	You can't sing a beautiful song, never mind an ugly one. Singing an ugly song is <MASK> than singing a beautiful song.	sing	song	You	can't
1	1	1	You can't sing a beautiful song, never mind an ugly one. Singing a beautiful song is <MASK> than singing an ugly song.	sing	song	You	can't
0	0	0	You can't sing an ugly song, or a beautiful one. Singing an ugly song is <MASK> than singing a beautiful song.	sing	song	You	can't
0	1	0	You can't sing an ugly song, or a beautiful one. Singing a beautiful song is <MASK> than singing an ugly song.	sing	song	You	can't
