Swapped_Condition	Swapped_Stimulus	Let-Alone	Sentence	Plain Verb	Noun	Pronoun	Modal
0	0	1	You couldn't grow food in damp soil, let alone dry soil. Growing food in damp soil is <MASK> than growing food in dry soil.	grow food in	soil	You	couldn't
0	1	1	You couldn't grow food in damp soil, let alone dry soil. Growing food in damp soil is <MASK> than growing food in damp soil.	grow food in	soil	You	couldn't
1	0	1	You couldn't grow food in dry soil, let alone damp soil. Growing food in dry soil is <MASK> than growing food in dry soil.	grow food in	soil	You	couldn't
1	1	1	You couldn't grow food in dry soil, let alone damp soil. Growing food in dry soil is <MASK> than growing food in damp soil.	grow food in	soil	You	couldn't
0	0	0	You couldn't grow food in damp soil, or dry soil. Growing food in damp soil is <MASK> than growing food in dry soil.	grow food in	soil	You	couldn't
0	1	0	You couldn't grow food in damp soil, or dry soil. Growing food in damp soil is <MASK> than growing food in damp soil.	grow food in	soil	You	couldn't
1	0	0	You couldn't grow food in dry soil, or damp soil. Growing food in dry soil is <MASK> than growing food in dry soil.	grow food in	soil	You	couldn't
1	1	0	You couldn't grow food in dry soil, or damp soil. Growing food in dry soil is <MASK> than growing food in damp soil.	grow food in	soil	You	couldn't
0	0	1	We couldn't grow food in damp soil, let alone dry soil. Growing food in damp soil is <MASK> than growing food in dry soil.	grow food in	soil	We	couldn't
0	1	1	We couldn't grow food in damp soil, let alone dry soil. Growing food in damp soil is <MASK> than growing food in damp soil.	grow food in	soil	We	couldn't
1	0	1	We couldn't grow food in dry soil, let alone damp soil. Growing food in dry soil is <MASK> than growing food in dry soil.	grow food in	soil	We	couldn't
1	1	1	We couldn't grow food in dry soil, let alone damp soil. Growing food in dry soil is <MASK> than growing food in damp soil.	grow food in	soil	We	couldn't
0	0	0	We couldn't grow food in damp soil, or dry soil. Growing food in damp soil is <MASK> than growing food in dry soil.	grow food in	soil	We	couldn't
0	1	0	We couldn't grow food in damp soil, or dry soil. Growing food in damp soil is <MASK> than growing food in damp soil.	grow food in	soil	We	couldn't
1	0	0	We couldn't grow food in dry soil, or damp soil. Growing food in dry soil is <MASK> than growing food in dry soil.	grow food in	soil	We	couldn't
1	1	0	We couldn't grow food in dry soil, or damp soil. Growing food in dry soil is <MASK> than growing food in damp soil.	grow food in	soil	We	couldn't
0	0	1	They couldn't grow food in damp soil, let alone dry soil. Growing food in damp soil is <MASK> than growing food in dry soil.	grow food in	soil	They	couldn't
0	1	1	They couldn't grow food in damp soil, let alone dry soil. Growing food in damp soil is <MASK> than growing food in damp soil.	grow food in	soil	They	couldn't
